point_id,ngv,n_disc,radius,n_below_m1,n_above_45
3083_2022_MN,0.13848797250859107,2910,7.5,0,0
3084_2021_MN,0.05927342256214149,1569,7.5,0,0
3085_2021_MN,0.16513527309851966,3918,7.5,0,0
3086_2021_MN,0.573736855604001,3899,7.5,8,0
3087_2021_MN,0.036963696369636964,1515,7.5,0,0
3088_2021_MN,0.3348938826466916,3204,7.5,0,0
3089_2021_MN,0.005341880341880342,1872,7.5,0,0
3090_2021_MN,0.17797947908445147,5068,7.5,0,0
3091_2022_MN,0.2013274336283186,1808,7.5,12,0
3092_2021_MN,0.05291359678499665,1493,7.5,0,0
3093_2021_MN,0.022628372497824196,3447,7.5,0,0
3094_2021_MN,0.14756258234519104,1518,7.5,0,0
3095_2021_MN,0.0,1499,7.5,0,0
3096_2021_MN,0.2420656266810113,1859,7.5,0,0
3097_2021_MN,0.26043580992386456,3809,7.5,0,0
3098_2021_MN,0.10910980256321441,2887,7.5,2,0
3099_2021_MN,0.2664609053497942,2916,7.5,0,0
3100_2021_MN,0.13192840646651272,3464,7.5,0,0
3101_2021_MN,0.3089887640449438,1602,7.5,0,0
3102_2021_MN,0.14784394250513347,1461,7.5,0,0
3103_2021_MN,0.2699594046008119,1478,7.5,0,0
3104_2021_MN,0.009569377990430622,1463,7.5,0,0
3105_2022_MN,0.10837765957446809,1504,7.5,0,0
3106_2021_MN,0.1128428927680798,1604,7.5,0,0
3107_2022_MN,0.0842050209205021,1912,7.5,0,0
3108_2021_MN,0.17392795883361922,2915,7.5,0,0
3109_2021_MN,0.02857142857142857,3535,7.5,0,0
3110_2021_MN,0.2417391304347826,1725,7.5,0,0
3111_2021_MN,0.32934131736526945,1670,7.5,0,0
3112_2021_MN,0.00033818058843422386,2957,7.5,0,0
3113_2022_MN,0.025780189959294438,1474,7.5,0,0
3114_2021_MN,0.12123475230271347,4017,7.5,1,0
3115_2021_MN,0.08848864526233359,2554,7.5,0,0
3116_2021_MN,0.023424190800681432,2348,7.5,0,0
3117_2021_MN,0.08724230654317298,3347,7.5,0,0
3118_2021_MN,0.15086463923673227,1677,7.5,0,0
3119_2021_MN,0.0,1717,7.5,0,0
3120_2021_MN,0.0014104372355430183,2127,7.5,0,0
3121_2021_MN,0.11899109792284866,3370,7.5,0,0
3122_2021_MN,0.08674985145573381,3366,7.5,0,0
3123_2021_MN,0.03473491773308958,1641,7.5,0,0
3124_2021_MN,0.03175929795236105,2393,7.5,0,0
3125_2021_MN,0.21714990746452806,1621,7.5,0,0
3126_2021_MN,0.25488826815642457,1432,7.5,0,0
3127_2021_MN,0.35046248715313466,1946,7.5,0,0
3128_2022_MN,0.03633217993079585,1734,7.5,0,0
3129_2021_MN,0.31195423065341765,3321,7.5,0,0
3130_2021_MN,0.03156856297270635,3041,7.5,0,0
